route,station,municipality,prefecture,population_density_km2,rank_in_route
上越新幹線,上野,台東区,東京都,15742.0,1
上越新幹線,大宮,さいたま市,埼玉県,6100.0,2
上越新幹線,東京,千代田区,東京都,5710.0,3
上越新幹線,本庄早稲田,本庄市,埼玉県,1900.0,4
上越新幹線,新潟,新潟市,新潟県,1100.0,5
上越新幹線,燕三条,三条市,新潟県,220.0,6
上越新幹線,越後湯沢,湯沢町,新潟県,170.0,7
上越新幹線,浦佐,南魚沼市,新潟県,170.0,7
上越新幹線,長岡,長岡市,新潟県,170.0,7
上越新幹線,熊谷,熊谷市,埼玉県,,8
上越新幹線,高崎,高崎市,群馬県,,8
上越新幹線,上毛高原,みなかみ町,群馬県,,8
九州新幹線,博多,福岡市,福岡県,4700.0,1
九州新幹線,鹿児島中央,鹿児島市,鹿児島県,1100.0,2
九州新幹線,新鳥栖,鳥栖市,佐賀県,322.0,3
九州新幹線,新玉名,玉名市,熊本県,240.0,4
九州新幹線,熊本,熊本市,熊本県,240.0,4
九州新幹線,新八代,八代市,熊本県,240.0,4
九州新幹線,新水俣,水俣市,熊本県,240.0,4
九州新幹線,出水,出水市,鹿児島県,170.0,5
九州新幹線,川内,薩摩川内市,鹿児島県,130.0,6
九州新幹線,久留米,久留米市,福岡県,,7
九州新幹線,筑後船小屋,筑後市,福岡県,,7
九州新幹線,新大牟田,大牟田市,福岡県,,7
北海道新幹線,新青森,青森市,青森県,320.0,1
北海道新幹線,木古内,木古内町,北海道,61.0,2
北海道新幹線,新函館北斗,北斗市,北海道,61.0,2
北海道新幹線,奥津軽いまべつ,今別町,青森県,,3
北陸新幹線,上野,台東区,東京都,15742.0,1
北陸新幹線,大宮,さいたま市,埼玉県,6100.0,2
北陸新幹線,東京,千代田区,東京都,5710.0,3
北陸新幹線,本庄早稲田,本庄市,埼玉県,1900.0,4
北陸新幹線,黒部宇奈月温泉,黒部市,富山県,250.0,5
北陸新幹線,富山,富山市,富山県,250.0,5
北陸新幹線,新高岡,高岡市,富山県,250.0,5
北陸新幹線,上越妙高,上越市,新潟県,170.0,6
北陸新幹線,糸魚川,糸魚川市,新潟県,170.0,6
北陸新幹線,熊谷,熊谷市,埼玉県,,7
北陸新幹線,高崎,高崎市,群馬県,,7
北陸新幹線,安中榛名,安中市,群馬県,,7
北陸新幹線,軽井沢,軽井沢町,長野県,,7
北陸新幹線,佐久平,佐久市,長野県,,7
北陸新幹線,上田,上田市,長野県,,7
北陸新幹線,長野,長野市,長野県,,7
北陸新幹線,飯山,飯山市,長野県,,7
北陸新幹線,金沢,金沢市,石川県,,7
山形新幹線,上野,台東区,東京都,15742.0,1
山形新幹線,大宮,さいたま市,埼玉県,6100.0,2
山形新幹線,東京,千代田区,東京都,5710.0,3
山形新幹線,小山,小山市,栃木県,980.0,4
山形新幹線,郡山,郡山市,福島県,360.0,5
山形新幹線,福島,福島市,福島県,360.0,5
山形新幹線,新白河,白河市,福島県,128.0,6
山形新幹線,高畠,高畠町,山形県,110.0,7
山形新幹線,山形,山形市,山形県,110.0,7
山形新幹線,宇都宮,宇都宮市,栃木県,,8
山形新幹線,那須塩原,那須塩原市,栃木県,,8
山形新幹線,米沢,米沢市,山形県,,8
山形新幹線,赤湯,南陽市,山形県,,8
山形新幹線,かみのやま温泉,上山市,山形県,,8
山形新幹線,天童,天童市,山形県,,8
山形新幹線,さくらんぼ東根,東根市,山形県,,8
山形新幹線,村山,村山市,山形県,,8
山形新幹線,大石田,大石田町,山形県,,8
山形新幹線,新庄,新庄市,山形県,,8
山陽新幹線,新大阪,大阪市,大阪府,12214.0,1
山陽新幹線,博多,福岡市,福岡県,4700.0,2
山陽新幹線,小倉,北九州市,福岡県,1900.0,3
山陽新幹線,西明石,明石市,兵庫県,634.0,4
山陽新幹線,姫路,姫路市,兵庫県,634.0,4
山陽新幹線,相生,相生市,兵庫県,634.0,4
山陽新幹線,福山,福山市,広島県,330.0,5
山陽新幹線,新尾道,尾道市,広島県,330.0,5
山陽新幹線,三原,三原市,広島県,330.0,5
山陽新幹線,東広島,東広島市,広島県,330.0,5
山陽新幹線,広島,広島市,広島県,330.0,5
山陽新幹線,岡山,岡山市,岡山県,260.0,6
山陽新幹線,新倉敷,倉敷市,岡山県,260.0,6
山陽新幹線,新岩国,岩国市,山口県,225.43,7
山陽新幹線,徳山,周南市,山口県,225.43,7
山陽新幹線,新山口,山口市,山口県,225.43,7
山陽新幹線,厚狭,山陽小野田市,山口県,225.43,7
山陽新幹線,新下関,下関市,山口県,225.43,7
山陽新幹線,新神戸,神戸市,兵庫県,,8
東北新幹線,上野,台東区,東京都,15742.0,1
東北新幹線,大宮,さいたま市,埼玉県,6100.0,2
東北新幹線,東京,千代田区,東京都,5710.0,3
東北新幹線,小山,小山市,栃木県,980.0,4
東北新幹線,八戸,八戸市,青森県,700.0,5
東北新幹線,郡山,郡山市,福島県,360.0,6
東北新幹線,福島,福島市,福島県,360.0,6
東北新幹線,新青森,青森市,青森県,320.0,7
東北新幹線,古川,大崎市,宮城県,310.0,8
東北新幹線,くりこま高原,栗原市,宮城県,310.0,8
東北新幹線,北上,北上市,岩手県,210.0,9
東北新幹線,新白河,白河市,福島県,128.0,10
東北新幹線,新花巻,花巻市,岩手県,100.0,11
東北新幹線,水沢江刺,奥州市,岩手県,76.0,12
東北新幹線,いわて沼宮内,岩手町,岩手県,76.0,12
東北新幹線,二戸,二戸市,岩手県,76.0,12
東北新幹線,宇都宮,宇都宮市,栃木県,,13
東北新幹線,那須塩原,那須塩原市,栃木県,,13
東北新幹線,白石蔵王,白石市,宮城県,,13
東北新幹線,仙台,仙台市,宮城県,,13
東北新幹線,一ノ関,一関市,岩手県,,13
東北新幹線,盛岡,盛岡市,岩手県,,13
東北新幹線,七戸十和田,七戸町,青森県,,13
東海道新幹線,新大阪,大阪市,大阪府,12214.0,1
東海道新幹線,新横浜,横浜市,神奈川県,8606.0,2
東海道新幹線,品川,港区,東京都,6363.0,3
東海道新幹線,東京,千代田区,東京都,5710.0,4
東海道新幹線,小田原,小田原市,神奈川県,3770.0,5
東海道新幹線,岐阜羽島,羽島市,岐阜県,2000.0,6
東海道新幹線,京都,京都市,京都府,1800.0,7
東海道新幹線,豊橋,豊橋市,愛知県,1400.0,8
東海道新幹線,浜松,浜松市,静岡県,500.0,9
東海道新幹線,熱海,熱海市,静岡県,460.0,10
東海道新幹線,三島,三島市,静岡県,460.0,10
東海道新幹線,新富士,富士市,静岡県,460.0,10
東海道新幹線,静岡,静岡市,静岡県,460.0,10
東海道新幹線,掛川,掛川市,静岡県,460.0,10
東海道新幹線,米原,米原市,滋賀県,150.0,11
東海道新幹線,三河安城,安城市,愛知県,,12
東海道新幹線,名古屋,名古屋市,愛知県,,12
秋田新幹線,上野,台東区,東京都,15742.0,1
秋田新幹線,大宮,さいたま市,埼玉県,6100.0,2
秋田新幹線,東京,千代田区,東京都,5710.0,3
秋田新幹線,小山,小山市,栃木県,980.0,4
秋田新幹線,郡山,郡山市,福島県,360.0,5
秋田新幹線,福島,福島市,福島県,360.0,5
秋田新幹線,古川,大崎市,宮城県,310.0,6
秋田新幹線,くりこま高原,栗原市,宮城県,310.0,6
秋田新幹線,北上,北上市,岩手県,210.0,7
秋田新幹線,新白河,白河市,福島県,128.0,8
秋田新幹線,新花巻,花巻市,岩手県,100.0,9
秋田新幹線,田沢湖,仙北市,秋田県,79.0,10
秋田新幹線,角館,仙北市,秋田県,79.0,10
秋田新幹線,大曲,大仙市,秋田県,79.0,10
秋田新幹線,秋田,秋田市,秋田県,79.0,10
秋田新幹線,水沢江刺,奥州市,岩手県,76.0,11
秋田新幹線,雫石,雫石町,岩手県,76.0,11
秋田新幹線,宇都宮,宇都宮市,栃木県,,12
秋田新幹線,那須塩原,那須塩原市,栃木県,,12
秋田新幹線,白石蔵王,白石市,宮城県,,12
秋田新幹線,仙台,仙台市,宮城県,,12
秋田新幹線,一ノ関,一関市,岩手県,,12
秋田新幹線,盛岡,盛岡市,岩手県,,12
